date,level
2014-04-15,5.005500111121154
2014-04-14,5.009108529863653
2014-04-13,5.01536351021396
2014-04-12,5.01494332359403
2014-04-11,5.024113512630577
2014-04-10,5.025879021527152
2014-04-09,5.024207305863743
2014-04-08,5.028033856733921
2014-04-07,5.029766611508814
2014-04-06,5.036916262016719
2014-04-05,5.027824406346342
2014-04-04,5.035765111542106
2014-04-03,5.040754468798941
2014-04-02,5.041994607259071
2014-04-01,5.045964270491907
2014-03-31,5.04129905880863
2014-03-30,5.045249643746753
2014-03-29,5.0370173388936506
2014-03-28,5.0300008436632915
2014-03-27,5.039066695744646
2014-03-26,5.0325215881421235
2014-03-25,5.035081995543312
2014-03-24,5.027630634173006
2014-03-23,5.034502005340568
2014-03-22,5.030110290850178
2014-03-21,5.02822710000189
2014-03-20,5.027200209848229
2014-03-19,5.0206640420379935
2014-03-18,5.018917262381563
2014-03-17,5.013693498342007
2014-03-16,5.016360107824399
2014-03-15,5.0081072298627225
2014-03-14,5.010563856867594
2014-03-13,5.009166701296562
2014-03-12,5.005059356192572
2014-03-11,5.0034998526868115
2014-03-10,5.013234644558486
2014-03-09,5.009424773256992
2014-03-08,5.001557561250209
2014-03-07,5.007033810170428
2014-03-06,5.000354489099081
2014-03-05,5.005154736324449
2014-03-04,4.995882205740432
2014-03-03,4.989374557635406
2014-03-02,4.996208740799983
2014-03-01,4.997595674633578
2014-02-28,5.001746544519732
2014-02-27,5.00869586192913
2014-02-26,5.009588207376315
2014-02-25,5.010885204027423
2014-02-24,5.015994557586901
2014-02-23,5.020011206578332
2014-02-22,5.017507357417745
2014-02-21,5.008511712083422
2014-02-20,5.01150106636654
2014-02-19,5.008690800445273
2014-02-18,5.013135282839823
2014-02-17,5.01322434764739
2014-02-16,5.02003643534372
2014-02-15,5.026362458601519
2014-02-14,5.029725840872909
2014-02-13,5.020087216746624
2014-02-12,5.020873497538724
2014-02-11,5.01112890853425
2014-02-10,5.016075922301883
2014-02-09,5.02577101380982
2014-02-08,5.019729883471616
2014-02-07,5.011797439118282
2014-02-06,5.0056467508070845
